name,url,influencedByCount,influencedCount
My Bloody Valentine,https://www.allmusic.com/artist/my-bloody-valentine-mn0000937003,20,133
Beck,https://www.allmusic.com/artist/beck-mn0000124492,29,29
The White Stripes,https://www.allmusic.com/artist/the-white-stripes-mn0000921710,21,17
Kanye West,https://www.allmusic.com/artist/kanye-west-mn0000361014,11,59
Eminem,https://www.allmusic.com/artist/eminem-mn0000157676,26,45
Sam Cooke,https://www.allmusic.com/artist/sam-cooke-mn0000238115,10,64
Otis Redding,https://www.allmusic.com/artist/otis-redding-mn0000414251,15,67
Parliament,https://www.allmusic.com/artist/parliament-mn0000129775,12,81
Aretha Franklin,https://www.allmusic.com/artist/aretha-franklin-mn0000927555,22,55
Gang of Four,https://www.allmusic.com/artist/gang-of-four-mn0000193231,10,53
Jay-Z,https://www.allmusic.com/artist/jay-z-mn0000224257,14,60
Charlie Parker,https://www.allmusic.com/artist/charlie-parker-mn0000211758,13,22
Thelonious Monk,https://www.allmusic.com/artist/thelonious-monk-mn0000490416,14,79
The Rutles,https://www.allmusic.com/artist/the-rutles-mn0000897214,1,0
Boston,https://www.allmusic.com/artist/boston-mn0000079960,18,13
Caleb Nichols,https://www.allmusic.com/artist/caleb-nichols-mn0001635949,2,0
Carpenters,https://www.allmusic.com/artist/carpenters-mn0000051909,16,11
Colin Scot,https://www.allmusic.com/artist/colin-scot-mn0000536443,2,0
Dwight Twilley,https://www.allmusic.com/artist/dwight-twilley-mn0000161572,10,9
Emitt Rhodes,https://www.allmusic.com/artist/emitt-rhodes-mn0000800926,10,10
Flamin' Groovies,https://www.allmusic.com/artist/flamin-groovies-mn0000180263,13,12
HAIM,https://www.allmusic.com/artist/haim-mn0003051113,8,0
Jeff Lynne,https://www.allmusic.com/artist/jeff-lynne-mn0000228266,9,10
Jellyfish,https://www.allmusic.com/artist/jellyfish-mn0000319021,17,15
Jonathan Richman,https://www.allmusic.com/artist/jonathan-richman-mn0000266255,15,20
Judy Collins,https://www.allmusic.com/artist/judy-collins-mn0000294923,26,19
Love,https://www.allmusic.com/artist/love-mn0000314600,7,18
Matthew Sweet,https://www.allmusic.com/artist/matthew-sweet-mn0000387530,25,8
Moby Grape,https://www.allmusic.com/artist/moby-grape-mn0000569914,12,14
Peter & Gordon,https://www.allmusic.com/artist/peter-gordon-mn0000264860,4,1
Peter Frampton,https://www.allmusic.com/artist/peter-frampton-mn0000320845,17,10
Raphael Saadiq,https://www.allmusic.com/artist/raphael-saadiq-mn0000402249,15,29
Rick Springfield,https://www.allmusic.com/artist/rick-springfield-mn0000359613,14,10
Robyn Hitchcock,https://www.allmusic.com/artist/robyn-hitchcock-mn0000832524,20,16
Simon & Garfunkel,https://www.allmusic.com/artist/simon-garfunkel-mn0000038936,15,17
Sonny & Cher,https://www.allmusic.com/artist/sonny-cher-mn0000042993,11,5
Squeeze,https://www.allmusic.com/artist/squeeze-mn0000790732,16,18
Syd Barrett,https://www.allmusic.com/artist/syd-barrett-mn0000044874,15,24
T. Rex,https://www.allmusic.com/artist/t-rex-mn0000005882,12,58
The Association,https://www.allmusic.com/artist/the-association-mn0000753963,11,6
The Beau Brummels,https://www.allmusic.com/artist/the-beau-brummels-mn0000135032,9,15
The Cars,https://www.allmusic.com/artist/the-cars-mn0000061172,26,18
The dB's,https://www.allmusic.com/artist/the-dbs-mn0000489209,18,15
The Dukes of Stratosphear,https://www.allmusic.com/artist/the-dukes-of-stratosphear-mn0000142963,8,0
The Jam,https://www.allmusic.com/artist/the-jam-mn0000084053,20,47
The Knack,https://www.allmusic.com/artist/the-knack-mn0000087179,15,10
The La's,https://www.allmusic.com/artist/the-las-mn0000104455,14,16
The Left Banke,https://www.allmusic.com/artist/the-left-banke-mn0000771010,9,19
The London Souls,https://www.allmusic.com/artist/the-london-souls-mn0000993916,4,0
The Lovin' Spoonful,https://www.allmusic.com/artist/the-lovin-spoonful-mn0000052900,14,13
The Mamas & the Papas,https://www.allmusic.com/artist/the-mamas-the-papas-mn0000059293,14,13
The Move,https://www.allmusic.com/artist/the-move-mn0000483587,16,16
The Raspberries,https://www.allmusic.com/artist/the-raspberries-mn0000416245,11,12
The Residents,https://www.allmusic.com/artist/the-residents-mn0000420539,19,16
The Spongetones,https://www.allmusic.com/artist/the-spongetones-mn0000485869,3,0
The Stone Roses,https://www.allmusic.com/artist/the-stone-roses-mn0000564333,21,45
The Turtles,https://www.allmusic.com/artist/the-turtles-mn0000564239,7,6
